iter	Logloss
0	0.6235306536
1	0.5092066054
2	0.4285298819
3	0.368152405
4	0.3247419233
5	0.2910173062
6	0.261507339
7	0.2408015847
8	0.2218588203
9	0.2063728242
10	0.1939505675
11	0.1819595368
12	0.1758164036
13	0.1616843236
14	0.1534421418
15	0.1463962975
16	0.1417530378
17	0.13418726
18	0.1290777665
19	0.1237765415
20	0.1192949684
21	0.1151225732
22	0.1112346863
23	0.1093275289
24	0.1071291063
25	0.1049774546
26	0.1017238289
27	0.1003046329
28	0.0973715309
29	0.09608458935
30	0.09266384513
31	0.09196064029
32	0.09044186115
33	0.08913311568
34	0.08438210256
35	0.08382520934
36	0.08278209336
37	0.08199298653
38	0.08070549047
39	0.08014210536
40	0.07995371546
41	0.07900298476
42	0.07778373369
43	0.07596980743
44	0.07365856213
45	0.07327696527
46	0.07268469505
47	0.06785870308
48	0.06341650388
49	0.0624254552
50	0.06232978212
51	0.05974359722
52	0.05965750238
53	0.05843360063
54	0.0581604451
